osmid,length
68017853,252.41299999999998
568022092,114.743
23153174,42.967
436197878,72.874
"[1158142939, 856616885, 856616886]",203.99
856616886,11.834
380347379,64.417
173256312,9.917
568022092,113.322
173256312,31.53
173256312,69.494
292057156,27.561999999999998
436197878,20.462
750639823,71.495
436197878,34.376
436197878,22.523
436197878,17.607
436195997,69.804
856274164,419.523
436197878,58.995
436197878,18.573
856591113,66.669
436197878,88.781
436197878,62.364
856591114,180.27800000000002
436197878,11.496
436197878,62.364
856591115,162.388
23154198,24.054
"[291939301, 23154198]",138.95999999999998
291939188,46.494
208054483,77.159
291939302,25.21
208054483,37.44
52062999,175.672
22841433,187.63299999999998
858787090,52.584999999999994
53349789,11.932
"[1313221128, 1313221125, 214062151]",654.753
481026282,24.794
481026282,39.17
767845474,193.47500000000002
221619113,17.956
476640142,207.58
1055593500,8.268
221619113,28.672
1055593499,7.836
221619113,138.37400000000002
"[221687864, 1154711907]",60.491
1165037347,201.85699999999997
689698897,7.925
1165037347,133.06799999999998
127049390,8.012
50285173,340.299
171483563,33.666
171483563,21.779
25957271,73.041
"[210337584, 25954549]",161.086
25954549,64.077
127049390,62.266
689841026,9.354
25957273,221.21300000000002
25957272,31.314
210337585,115.859
1218732023,65.023
1218732024,133.382
669604969,119.844
211849916,76.60900000000001
858787087,8.075
50285173,420.919
"[858034926, 858787086, 858787087]",226.465
292610089,83.554
858034926,47.199
858034926,39.971000000000004
25954555,106.022
25954555,42.158
292610111,50.206
25954555,32.956
"[25954555, 858034924]",327.55600000000004
"[292610080, 292610125, 292610110]",285.827
858034924,8.204
25954557,225.039
858034924,235.651
1207711604,42.871
858803960,58.91499999999999
1207711604,54.22
25954557,83.655
25954557,225.039
208060199,167.49400000000003
25954559,81.279
168426340,69.21000000000001
858803960,58.91499999999999
25954559,10.878
25954559,103.452
1090881637,165.12399999999997
25954559,38.875
294836799,138.704
25954559,48.527
25956265,153.39800000000002
25956265,93.227
673239113,165.66
673239113,306.49699999999996
127048938,6.817
"[829970643, 280765142]",592.6440000000001
208060307,40.444
208060307,121.487
1136416291,222.19699999999997
208060307,135.39999999999998
208060307,55.09
"[294712090, 294712068]",215.154
208060307,169.14299999999997
208060307,228.483
476590719,45.721000000000004
28565723,8.75
25956261,446.044
280765138,164.868
25956262,6.671
"[218681356, 1204884518]",288.638
25956263,6.99
218681356,38.732
25956263,43.929
25956263,299.70799999999997
25956265,134.614
1187803002,113.527
25956263,74.76
447363862,100.803
1187803001,148.751
447363852,6.992
218681356,119.086
447363854,76.873
673239113,51.405
447363854,175.529
673239113,165.66
673239113,68.682
673239113,54.537
447363862,129.44899999999998
447363862,40.885
210337584,95.38300000000001
"[210337584, 25954549]",161.086
210337585,42.31
25957264,44.223
25957266,21.981
25957266,118.289
25957264,46.903
25957264,44.223
25957267,104.739
25957264,96.094
25957264,46.903
25957265,92.657
25957265,92.657
25954549,52.564
25954549,72.882
25954549,10.365
