node_id,y,x
250131841,18.53115,73.9398656
250131842,18.5316793,73.9385817
250131843,18.5319046,73.9380416
250148754,18.5491474,73.886306
250149606,18.5470183,73.8864149
250151483,18.5609332,73.8979729
275809442,18.5044803,73.9195433
279305413,18.4840414,73.9297605
279305422,18.4909462,73.9319042
279305423,18.4913115,73.9319474
279305546,18.4890691,73.9320603
282771761,18.5607539,73.8150706
282771764,18.5623123,73.815998
282771791,18.5458751,73.9060661
283138728,18.5663145,73.84856
283152628,18.5496606,73.9024585
283152630,18.5467941,73.9007836
283152632,18.5480723,73.900907
283152634,18.5504787,73.9012459
283152635,18.5503104,73.9004788
283152637,18.5523492,73.9060204
283152638,18.5522226,73.9086102
283152646,18.5516412,73.9108113
283152656,18.5510763,73.9126803
283152666,18.5493057,73.9160265
283152670,18.5495195,73.9185651
283152673,18.547301,73.9157341
283152678,18.5491036,73.9189105
283152686,18.5467881,73.9213297
283152688,18.5449605,73.9222833
283160931,18.5365958,73.8971934
283160934,18.5390778,73.9037261
283164019,18.5537579,73.9156588
283164053,18.5551168,73.9149773
283164103,18.5575374,73.9126721
283166298,18.5397055,73.8910173
283166300,18.5395839,73.8945548
283166302,18.5392418,73.9002209
283166303,18.5364987,73.8999233
283166305,18.5340635,73.8994868
283166306,18.5393315,73.8987167
283166310,18.5351069,73.8971384
283166311,18.5341551,73.8970938
283178852,18.5498338,73.9009927
283178866,18.5480289,73.9041408
283178869,18.5480002,73.9045592
283178870,18.547969,73.9050029
283178874,18.5487837,73.9051875
283178875,18.5490881,73.904245
283178877,18.5478318,73.9041248
283178878,18.5489307,73.9047136
283178880,18.5491175,73.9041517
283178887,18.5492351,73.9037788
283178888,18.5474241,73.9034955
283178890,18.5462833,73.9033412
283178897,18.5494771,73.9030347
283178898,18.546542,73.9020285
283178899,18.5480699,73.9002902
283178901,18.5468912,73.9002019
283178902,18.5442777,73.9004279
305776693,18.5618166,73.9118226
305776714,18.5616464,73.9138027
305776723,18.5651785,73.9141721
309923463,18.5394751,73.8875633
309923465,18.5418704,73.8875559
309923897,18.5331007,73.8936467
309924198,18.5331062,73.889254
309924230,18.5341627,73.8893296
309924430,18.5362401,73.8938576
313794626,18.5345528,73.8937008
313794637,18.5358719,73.895108
313794845,18.5396401,73.8931699
313794891,18.5397788,73.8910475
331414381,18.499153,73.9514648
343303641,18.5129635,73.8455389
343306049,18.5379205,73.7967964
343306088,18.5056857,73.825131
343306108,18.5074823,73.8003429
343306109,18.5078816,73.796668
344859503,18.534332,73.8316732
344859576,18.5345999,73.832667
344859582,18.5342151,73.8328645
344859625,18.5329598,73.8332733
344859640,18.5323861,73.833483
345121947,18.5529226,73.8796364
345121952,18.5533319,73.8841506
345127462,18.5364834,73.8312774
345127500,18.5363527,73.8329282
345127515,18.5358384,73.832931
345127553,18.5358036,73.8337437
345127722,18.5338726,73.8318103
345127874,18.5364807,73.8317869
345129620,18.5327989,73.8341983
345129629,18.5329087,73.834423
345129651,18.5310954,73.8348999
345129668,18.5323926,73.8344245
345129671,18.5327436,73.8342614
392161380,18.4889875,73.8266223
392161381,18.4889904,73.8265994
392161626,18.4915268,73.8180822
392161627,18.4904257,73.8176084
392161628,18.4889904,73.8165101
392161646,18.4837593,73.8097625
487113379,18.5654335,73.8776899
487113500,18.5725579,73.8781362
487113661,18.5538524,73.8698449
487113685,18.5541441,73.8720753
487113918,18.5602608,73.8918531
492014712,18.5536655,73.8681329
496739433,18.5685526,73.879479
496739437,18.5685185,73.8815926
496739441,18.5647881,73.880863
496739445,18.5661715,73.8810385
496739450,18.5660819,73.8812222
496739457,18.5664127,73.8816266
496739459,18.5665179,73.8816176
496739461,18.5666373,73.8815183
506502114,18.5157139,73.87802
506502117,18.5127228,73.8763983
506513341,18.5092444,73.8771559
506513343,18.5083945,73.8780279
506514273,18.5114255,73.8779457
506514488,18.5081186,73.8787166
506514706,18.5114194,73.878786
506514711,18.5114162,73.8763908
506515397,18.512862,73.8778965
506515403,18.5127148,73.8766581
506919190,18.5131689,73.9037036
506919196,18.5134675,73.9034159
506936241,18.515247,73.9056223
506936306,18.5174134,73.9029413
506936309,18.5174385,73.9014769
506951379,18.5139512,73.9044258
